Malignant Cell,Cluster
N_N_P0825_06171,17
N_N_P0825_06173,17
N_N_P0825_06175,17
N_N_P0825_06176,17
N_N_P0825_06177,17
N_N_P0825_06178,17
N_N_P0825_06180,17
N_N_P0825_06181,17
N_N_P0825_06182,17
N_N_P0825_06185,17
N_N_P0825_06186,17
N_N_P0825_06187,17
N_T_P1212_09450,17
N_T_P1212_09538,17
N_T_P0104_00001,9
N_T_P0104_00003,9
N_T_P0104_00004,9
N_T_P0104_00011,9
N_T_P0104_00014,9
N_T_P0104_00016,9
N_T_P0104_00017,9
N_T_P0104_00019,9
N_T_P0104_00020,9
N_T_P0104_00021,9
N_T_P0104_00022,9
N_T_P0104_00027,9
N_T_P0104_00029,9
N_T_P0104_00030,9
N_T_P0104_00031,9
N_T_P0104_00032,9
N_T_P0104_00036,9
N_T_P0104_00038,9
N_T_P0104_00040,9
N_T_P0104_00041,9
N_T_P0104_00042,9
N_T_P0104_00044,9
N_T_P0104_00045,9
N_T_P0104_00046,9
N_T_P0104_00047,9
N_T_P0104_00048,9
N_T_P0104_00051,9
N_T_P0104_00058,9
N_T_P0104_00059,9
N_T_P0104_00062,9
N_T_P0104_00065,9
N_T_P0104_00067,9
N_T_P0104_00068,9
N_T_P0104_00069,9
N_T_P0104_00074,9
N_T_P0104_00077,9
N_T_P0104_00081,9
N_T_P0104_00082,9
N_T_P0104_00085,9
N_T_P0104_00086,9
N_T_P0104_00089,9
N_T_P0104_00092,9
N_T_P0104_00093,9
N_T_P0104_00094,9
N_T_P0104_00095,9
N_T_P0104_00096,9
N_T_P0104_00098,9
N_T_P0104_00102,9
N_T_P0104_00108,9
N_T_P0104_00109,9
N_T_P0104_00110,9
N_T_P0104_00111,9
N_T_P0104_00116,9
N_T_P0104_00117,9
N_T_P0104_00118,9
N_T_P0104_00119,9
N_T_P0104_00122,9
N_T_P0104_00124,9
N_T_P0104_00127,9
N_T_P0104_00128,9
N_T_P0104_00133,9
N_T_P0104_00134,9
N_T_P0104_00138,9
N_T_P0104_00139,9
N_T_P0104_00140,9
N_T_P0104_00141,9
N_T_P0104_00144,9
N_T_P0104_00147,9
N_T_P0104_00148,9
N_T_P0104_00149,9
N_T_P0104_00150,9
N_T_P0104_00152,9
N_T_P0104_00154,9
N_T_P0104_00160,9
N_T_P0104_00170,9
N_T_P0104_00171,9
N_T_P0104_00173,9
N_T_P0104_00174,9
N_T_P0104_00175,9
N_T_P0104_00176,9
N_T_P0104_00180,9
N_T_P0104_00182,9
N_T_P0104_00185,9
N_T_P0104_00188,9
N_T_P0104_00189,9
N_T_P0104_00190,9
N_T_P0104_00193,9
P_T_P0305_00469,9
N_T_P0411_02774,9
N_T_P0411_02803,9
N_T_P0411_02808,9
N_T_P0411_02810,9
N_T_P0411_02811,9
N_T_P0411_02816,9
N_T_P0411_02817,9
N_T_P0411_02825,9
N_T_P0411_02864,9
N_T_P0411_02871,9
P_N_P0413_02992,9
P_T_P0413_03678,9
P_T_P0413_03723,9
N_T_P0413_04196,9
N_T_P0413_04197,9
N_T_P0413_04198,9
N_T_P0413_04201,9
N_T_P0413_04202,9
N_T_P0413_04203,9
N_T_P0413_04205,9
N_T_P0413_04208,9
N_T_P0413_04211,9
N_T_P0413_04213,9
N_T_P0413_04214,9
N_T_P0413_04215,9
N_T_P0413_04219,9
N_T_P0413_04221,9
N_T_P0413_04222,9
N_T_P0413_04223,9
N_T_P0413_04226,9
N_T_P0413_04227,9
N_T_P0413_04229,9
N_T_P0413_04231,9
N_T_P0413_04232,9
N_T_P0413_04233,9
N_T_P0413_04236,9
N_T_P0413_04238,9
N_T_P0413_04240,9
N_T_P0413_04242,9
N_T_P0413_04244,9
N_T_P0413_04245,9
N_T_P0413_04246,9
N_T_P0413_04247,9
N_T_P0413_04249,9
N_T_P0413_04252,9
N_T_P0413_04253,9
N_T_P0413_04254,9
N_T_P0413_04256,9
N_T_P0413_04259,9
N_T_P0413_04260,9
N_T_P0413_04261,9
N_T_P0413_04262,9
N_T_P0413_04263,9
N_T_P0413_04266,9
N_T_P0413_04269,9
N_T_P0413_04270,9
N_T_P0413_04271,9
N_T_P0413_04272,9
N_T_P0413_04274,9
N_T_P0413_04275,9
N_T_P0413_04277,9
N_T_P0413_04280,9
N_T_P0413_04281,9
N_T_P0413_04283,9
N_T_P0413_04284,9
N_T_P0413_04287,9
N_T_P0413_04295,9
N_T_P0413_04296,9
N_T_P0413_04298,9
N_T_P0413_04300,9
N_T_P0413_04302,9
N_T_P0413_04303,9
N_T_P0413_04305,9
N_T_P0413_04306,9
N_T_P0413_04307,9
N_T_P0413_04309,9
N_T_P0413_04310,9
N_T_P0413_04312,9
P_N_P0720_04352,9
N_N_P0720_04437,9
N_N_P0720_04438,9
N_N_P0720_04439,9
N_N_P0720_04440,9
N_N_P0720_04447,9
N_N_P0720_04452,9
N_N_P0720_04454,9
N_N_P0720_04465,9
N_N_P0720_04466,9
N_N_P0720_04471,9
N_N_P0720_04472,9
N_N_P0720_04476,9
N_N_P0720_04480,9
N_N_P0720_04482,9
N_T_P0720_04592,9
N_T_P0720_04593,9
N_T_P0720_04597,9
N_T_P0720_04598,9
N_T_P0720_04601,9
N_T_P0720_04602,9
N_T_P0720_04603,9
N_T_P0720_04604,9
N_T_P0720_04605,9
N_T_P0720_04606,9
N_T_P0720_04607,9
N_T_P0720_04609,9
N_T_P0720_04612,9
N_T_P0720_04613,9
N_T_P0720_04617,9
N_T_P0720_04618,9
N_T_P0720_04619,9
N_T_P0720_04620,9
N_T_P0720_04621,9
N_T_P0720_04624,9
N_T_P0720_04628,9
N_T_P0720_04630,9
N_T_P0720_04632,9
N_T_P0720_04636,9
N_T_P0720_04638,9
N_T_P0720_04640,9
N_T_P0720_04642,9
N_T_P0720_04646,9
N_T_P0720_04647,9
N_T_P0720_04648,9
N_T_P0720_04651,9
N_T_P0720_04652,9
N_T_P0720_04654,9
N_T_P0720_04656,9
N_T_P0720_04658,9
N_T_P0720_04659,9
N_T_P0720_04660,9
N_T_P0720_04666,9
N_T_P0720_04667,9
N_T_P0720_04668,9
N_T_P0720_04671,9
N_T_P0720_04672,9
N_T_P0720_04673,9
N_T_P0720_04680,9
N_T_P0720_04681,9
N_T_P0720_04683,9
N_T_P0720_04686,9
N_T_P0720_04687,9
N_T_P0720_04689,9
N_T_P0720_04690,9
N_T_P0720_04698,9
N_T_P0720_04700,9
N_T_P0720_04703,9
N_T_P0720_04705,9
N_T_P0720_04706,9
N_T_P0720_04707,9
N_T_P0720_04708,9
N_T_P0720_04709,9
N_T_P0720_04710,9
N_T_P0720_04711,9
N_T_P0720_04714,9
N_T_P0720_04715,9
N_T_P0720_04718,9
N_T_P0720_04719,9
N_T_P0720_04721,9
N_T_P0720_04723,9
N_T_P0720_04724,9
N_T_P0720_04725,9
N_T_P0720_04726,9
N_T_P0720_04727,9
N_T_P0720_04728,9
N_T_P0720_04730,9
N_T_P0720_04733,9
N_T_P0720_04735,9
N_T_P0720_04736,9
N_T_P0720_04737,9
N_T_P0720_04738,9
N_T_P0720_04740,9
N_T_P0720_04743,9
N_T_P0720_04744,9
N_T_P0720_04745,9
N_T_P0720_04747,9
N_T_P0720_04749,9
N_T_P0720_04752,9
N_T_P0720_04755,9
N_T_P0720_04757,9
N_T_P0720_04759,9
N_T_P0720_04760,9
N_T_P0720_04762,9
N_T_P0720_04763,9
N_T_P0720_04765,9
N_T_P0720_04766,9
N_T_P0720_04767,9
N_T_P0720_04768,9
N_T_P0720_04769,9
N_T_P0720_04770,9
N_T_P0720_04771,9
N_T_P0720_04773,9
N_T_P0720_04774,9
N_T_P0720_04776,9
N_T_P0720_04778,9
N_T_P0720_04779,9
N_T_P0720_04780,9
N_T_P0720_04781,9
N_T_P0720_04783,9
N_T_P0720_04788,9
N_T_P0720_04789,9
N_T_P0720_04790,9
N_T_P0720_04791,9
N_T_P0720_04792,9
N_T_P0720_04793,9
N_T_P0720_04794,9
N_T_P0720_04798,9
N_T_P0720_04799,9
N_T_P0720_04800,9
N_T_P0720_04801,9
N_T_P0720_04803,9
N_T_P0720_04808,9
N_T_P0720_04812,9
N_T_P0720_04813,9
N_T_P0720_04814,9
N_T_P0720_04815,9
N_T_P0720_04816,9
N_T_P0720_04817,9
N_T_P0720_04819,9
N_T_P0720_04821,9
N_T_P0720_04824,9
N_T_P0720_04827,9
N_T_P0720_04828,9
N_T_P0720_04829,9
N_T_P0720_04830,9
N_T_P0720_04831,9
N_T_P0720_04832,9
N_T_P0720_04833,9
N_N_P0728_04984,9
N_N_P0728_04987,9
N_N_P0728_04989,9
N_N_P0728_04990,9
N_N_P0728_04991,9
N_N_P0728_04992,9
N_N_P0728_04994,9
